Date,open,high,low,Close,adj_close,volume_shares
2021-12-01,101.73333,102.5,100.126663,101.773331,98.517609,32483592
2021-12-02,101.666664,104.686668,101.033333,102.933334,99.640495,54021633
2021-12-03,102.330002,103.266663,99.620003,102.300003,99.027428,63098145
2021-12-06,100.333336,103.836662,100.286667,100.583336,97.365685,53640258
2021-12-07,102.003334,102.116669,97.026665,98.266663,95.123116,68303580
2021-12-08,98.669998,100.333336,98.166664,100.263336,97.055916,46314528
2021-12-09,100.0,100.209999,99.010002,99.833336,96.639664,33887133
2021-12-10,98.66333,100.676666,97.599998,100.473335,97.259193,43461819
2021-12-13,100.996666,101.0,99.333336,99.466667,96.284729,42882372
2021-12-14,98.5,99.023331,97.230003,97.800003,94.671379,47133384
2021-12-15,97.803329,98.5,97.236664,97.783333,94.655243,29445108
2021-12-16,97.666664,97.830002,93.0,95.400002,92.34816,83599548
2021-12-17,94.666664,95.293335,92.870003,92.993332,90.018471,45335445
2021-12-20,93.076668,93.823334,89.426666,90.166664,87.282227,65353509
2021-12-21,90.166664,92.260002,89.803329,92.07,89.12468,44895915
2021-12-22,93.336662,95.059998,92.336662,93.073334,90.095924,43332690
2021-12-23,93.926666,94.073334,92.386665,93.330002,90.344376,36906402
2021-12-24,93.993332,94.0,88.32,90.0,87.120895,62990643
2021-12-27,89.666664,90.513336,88.666664,89.010002,86.162567,32156985
2021-12-28,89.383331,90.333336,88.736664,90.283333,87.395164,35562852
2021-12-29,90.716667,90.739998,87.666664,89.666664,86.798225,42480912
2021-12-30,89.333336,90.993332,88.666664,89.043335,86.194839,35198019
2021-12-31,91.0,91.396667,89.0,89.373337,86.514282,34887591
2022-01-04,92.0,93.150002,88.40667,90.333336,87.443573,73398267
2022-01-05,88.183334,88.826668,83.90667,84.419998,81.719406,90512673
2022-01-06,83.333336,84.84333,82.629997,83.339996,80.67395,52772352
2022-01-07,83.933334,84.32,81.666664,82.166664,79.538162,48580065
2022-01-10,81.666664,83.15667,79.676666,82.099998,79.473625,48642546
2022-01-11,82.09333,82.09333,79.266663,79.696663,77.147163,63732441
2022-01-12,82.0,85.333336,81.436668,85.333336,82.603523,97080672
